Grain Diameter,Misorientation Angle,KAM,phi1,Phi,phi2,Phase,CI,IQ
25.233,9.94,0.3671,258.31,51.5,62.64,Ferrite,0.244,102
13.778,9.196,1.4015,341.86,81.9,23.14,Ferrite,0.456,98
30.838,45.186,0.521,240.85,28.11,80.27,Ferrite,0.703,138
33.592,47.449,0.1629,196.98,50.34,59.15,Austenite,0.93,98
9.144,61.2,0.3905,161.5,54.96,74.91,Ferrite,0.486,217
12.244,9.37,0.5845,298.15,45.63,55.37,Ferrite,0.888,139
23.303,33.958,0.764,305.88,65.8,78.2,Ferrite,0.935,155
19.082,58.397,0.7664,105.49,64.76,32.55,Austenite,0.217,112
21.834,26.556,0.803,343.23,54.43,49.42,Ferrite,0.392,143
14.987,8.69,0.4065,142.24,51.75,46.43,Ferrite,0.768,218
32.68,2.162,0.7021,288.03,53.66,81.34,Ferrite,0.805,148
31.22,19.596,0.3372,348.06,53.74,14.84,Ferrite,0.514,81
164.385,37.007,0.4141,253.32,54.06,52.03,Ferrite,0.725,114
36.536,24.426,0.3247,58.16,52.74,67.9,Ferrite,0.69,217
27.151,23.713,0.2435,211.01,58.03,33.3,Ferrite,0.792,218
14.945,36.8,0.9193,42.76,64.04,78.08,Ferrite,0.775,109
25.971,28.603,0.8066,284.09,40.24,33.57,Ferrite,0.269,166
14.29,52.415,0.893,101.27,42.39,15.6,Ferrite,0.327,91
151.896,57.657,0.6118,250.28,34.02,52.56,Ferrite,0.306,161
21.511,52.728,0.833,327.63,65.4,37.85,Austenite,0.946,98
20.244,27.503,0.0716,65.16,58.0,1.37,Ferrite,0.931,195
16.194,4.594,0.8589,141.43,61.06,6.29,Ferrite,0.838,212
38.137,26.972,0.6531,232.96,37.85,17.57,Ferrite,0.293,104
20.522,13.864,0.7881,151.08,76.42,69.24,Ferrite,0.659,145
18.143,59.359,0.714,62.93,47.69,80.28,Austenite,0.35,94
18.776,33.896,0.3039,10.47,57.02,49.11,Ferrite,0.495,127
27.955,25.56,0.1506,146.38,65.25,9.5,Ferrite,0.414,89
25.932,54.794,0.3864,233.72,43.16,48.1,Ferrite,0.863,117
26.49,33.762,0.7695,206.63,48.44,77.0,Ferrite,0.316,219
26.707,16.65,0.807,56.25,57.15,67.45,Ferrite,0.717,86
